currency,currency_name,query_and_operator,operator_query,operator_and
LSK,Lisk,"LSK, Lisk",LSK,Lisk
XRP,Ripple,"XRP, Ripple",XRP,Ripple
ETH,Ethereum,"ETH, Ethereum",ETH,Ethereum
BTC,Bitcoin,"BTC, Bitcoin",BTC,Bitcoin
BCH,Bitcoin Cash,"BCH, Bitcoin Cash",BCH,Bitcoin Cash
EOS,EOS,"EOS, Crypto",EOS,Crypto
LTC,Litecoin ,"LTC, Litecoin ",LTC,Litecoin 
XLM,Stellar Lumen ,"XLM, Stellar Lumen ",XLM,Stellar Lumen
ADA,Cardano,"ADA, Cardano",ADA,Cardano
IOT,IOTA ,"IOT, IOTA ",IOT,IOTA
TRX,TRON,"TRX, TRON",TRX,TRON
NEO,NEO,"NEO, Crypto",NEO,Crypto
XMR,Monero,"XMR, Monero",XMR,Monero
USDT,Tether,"USDT, Tether",USDT,Tether
DASH,Dash,"DASH, Crypto",DASH,Crypto
XEM,NEM ,"XEM, NEM ",XEM,NEM
VEN,VeChain,"VEN, VeChain",VEN,VeChain
BNB,Binance Coin,"BNB, Binance Coin",BNB,Binance Coin
ETC,Ethereum Classic,"ETC, Ethereum Classic",ETC,Ethereum Classic
ONT,Ontology,"ONT, Ontology",ONT,Ontology
Qtum,QTUM,"QTUM, Crypto",QTUM,Crypto
OMG,OmiseGo,"OMG, OmiseGo",OMG,OmiseGo
BCN,Bytecoin,"BCN, Bytecoin",BCN,Bytecoin
ICX,ICON,"ICX, ICON",ICX,ICON
ZEC,Zcash,"ZEC, Zcash",ZEC,Zcash
ZIL,Zilliqa,"ZIL, Zilliqa",ZIL,Zilliqa
AE,Aeternity,"AE, Aeternity",AE,Aeternity
DCR,Decred ,"DCR, Decred ",DCR,Decred
BTG,Bitcoin Gold,"BTG, Bitcoin Gold",BTG,Bitcoin Gold
ZRX,Ox,"ZRX, Ox",ZRX,Ox
SC,Siacoin,"SC, Siacoin",SC,Siacoin
BTM,Bytom,"BTM, Bytom",BTM,Bytom
STEEM,Steem,"STEEM, Steem",STEEM,Steem
XVG,VERGE,"XVG, VERGE",XVG,VERGE
BTS,BitShares,"BTS, BitShares",BTS,BitShares
NANO,Nano,"NANO, Crypto",NANO,Crypto
WAVES,Waves,"WAVES, Crypto",WAVES,Crypto
MKR,Maker,"MKR, Maker",MKR,Maker
RHOC,RChain,"RHOC, RChain",RHOC,RChain
WAN,Wanchain,"WAN, Wanchain",WAN,Wanchain
GNT,Golem,"GNT, Golem",GNT,Golem
BCD,Bitcoin Diamond,"BCD, Bitcoin Diamond",BCD,Bitcoin Diamond
STRAT,Stratis,"STRAT, Stratis",STRAT,Stratis
DOGE,Dogecoin ,"DOGE, Dogecoin ",DOGE,Dogecoin 
REP,Augur,"REP, Augur",REP,Augur
PPT,Populous,"PPT, Populous",PPT,Populous
BTCP,Bitcoin Private,"BTCP, Bitcoin Private",BTCP,Bitcoin Private
WTC,Waltonchain,"WTC, Waltonchain",WTC,Waltonchain
XIN,Mixin,"XIN, Mixin",XIN,Mixin
DGB,DigiByte,"DGB, DigiByte",DGB,DigiByte
IOST,IOST,"IOST, IOST",IOST,IOST
SNT,Status,"SNT, Status",SNT,Status
DGD,DigixDAO,"DGD, DigixDAO",DGD,DigixDAO
WICC,WaykiChain,"WICC, WaykiChain",WICC,WaykiChain
HSR,Hshare,"HSR, Hshare",HSR,Hshare
NAS,Nebulas,"NAS, Nebulas",NAS,Nebulas
AION,Aion,"AION, Aion",AION,Aion
LRC,Loopring,"LRC, Loopring",LRC,Loopring
HT,Huobi Token,"HT, Huobi Token",HT,Huobi Token
BAT,Basic Attention Token,"BAT, Basic Attention Token",BAT,Basic Attention Token
ELF,aelf,"ELF, aelf",ELF,aelf
KMD,Komodo,"KMD, Komodo",KMD,Komodo
ARK,Ark,"ARK, Crypto",ARK,Crypto
GXS,GXChain,"GXS, GXChain",GXS,GXChain
ARDR,Ardor,"ARDR, Ardor",ARDR,Ardor
ELA,Elastos,"ELA, Elastos",ELA,Elastos
BNT,Bancor,"BNT, Bancor",BNT,Bancor
MAID,MaidSafeCoin,"MAID, MaidSafeCoin",MAID,MaidSafeCoin
CMT,CyberMiles,"CMT, CyberMiles",CMT,CyberMiles
MOAC,MOAC,"MOAC, MOAC",MOAC,MOAC
SKY,Skycoin,"SKY, Skycoin",SKY,Skycoin
PIVX,PIVX,"PIVX, Crypto",PIVX,Crypto
CNX,Cryptonex,"CNX, Cryptonex",CNX,Cryptonex
DCN,Dentacoin,"DCN, Dentacoin",DCN,Dentacoin
GAS,Gas,"GAS, Ethereum",GAS,Ethereum
MONA,MonaCoin,"MONA, MonaCoin",MONA,MonaCoin
RDD,ReddCoin,"RDD, ReddCoin",RDD,ReddCoin
CTXC,Cortex,"CTXC, Cortex",CTXC,Cortex
KNC,Kyber Network,"KNC, Kyber Network",KNC,Kyber Network
ETHOS,Ethos,"ETHOS, Crypto",ETHOS,Crypto
SYS,Syscoin,"SYS, Syscoin",SYS,Syscoin
LOOM,Loom Network,"LOOM, Loom Network",LOOM,Loom Network
POLY,Polymath,"POLY, Polymath",POLY,Polymath
MITH,Mithril,"MITH, Mithril",MITH,Mithril
QASH,QASH,"QASH, QASH",QASH,QASH
FSN,Fusion,"FSN, Fusion",FSN,Fusion
FUN,FunFair,"FUN, FunFair",FUN,FunFair
BIX,Bibox Token,"BIX, Bibox Token",BIX,Bibox Token
CENNZ,Centrality,"CENNZ, Centrality",CENNZ,Centrality
THETA,Theta Token,"THETA, Theta Token",THETA,Theta Token
ENG,Enigma,"ENG, Crypto",ENG,Crypto
NULS,Nuls,"NULS, Nuls",NULS,Nuls
VERI,Veritaseum,"VERI, Veritaseum",VERI,Veritaseum
SUB,Substratum,"SUB, Substratum",SUB,Substratum
ETN,Electroneum,"ETN, Electroneum",ETN,Electroneum
XZC,ZCoin,"XZC, ZCoin",XZC,ZCoin
NXT,Nxt,"NXT, Crypto",NXT,Crypto
DRGN,Dragonchain,"DRGN, Dragonchain",DRGN,Dragonchain
SOC,All Sports,"SOC, All Sports",SOC,All Sports
DROP,Dropil,"DROP, Dropil",DROP,Dropil
HOT,Holo,"HOT, Holo",HOT,Holo
DDD,Scry.info,"DDD, Scry.info",DDD,Scry.info
FCT,Factom,"FCT, Factom",FCT,Factom
STORM,Storm,"STORM, Crypto",STORM,Crypto
BFT,BnkToTheFuture,"BFT, BnkToTheFuture",BFT,BnkToTheFuture
KIN,Kin,"KIN, Crypto",KIN,Crypto
DBC,DeepBrain Chain,"DBC, DeepBrain Chain",DBC,DeepBrain Chain
POWR,Power Ledger,"POWR, Power Ledger",POWR,Power Ledger
NXS,Nexus,"NXS, Crypto",NXS,Crypto
GTO,Gifto,"GTO, Gifto",GTO,Gifto
MAN,Matrix AI Network,"MAN, Matrix AI Network",MAN,Matrix AI Network
BLOCK,Blocknet,"BLOCK, Blocknet",BLOCK,Blocknet
WAX,WAX,"WAX, Crypto",WAX,Crypto
SALT,SALT,"SALT, Crypto",SALT,Crypto
RLC,iExec RLC,"RLC, iExec RLC",RLC,iExec RLC
MANA,Decentraland,"MANA, Decentraland",MANA,Decentraland
HPB,High Performance Blockchain,"HPB, High Performance Blockchain",HPB,High Performance Blockchain
LINK,ChainLink,"LINK, ChainLink",LINK,ChainLink
MCO,Monaco,"MCO, Monaco",MCO,Monaco
EMC,Emercoin,"EMC, Emercoin",EMC,Emercoin
STORJ,Storj,"STORJ, Storj",STORJ,Storj
1,True Chain,"1, True Chain",1,True Chain
CVC,Civic,"CVC, Civic",CVC,Civic
ACT,Achain,"ACT, Achain",ACT,Achain
EOSDAC,eosDAC,"EOSDAC, eosDAC",EOSDAC,eosDAC
PAYX,Paypex,"PAYX, Paypex",PAYX,Paypex
