LSK,Lisk
XRP,Ripple
ETH,Ethereum
BTC,Bitcoin
BCH,Bitcoin Cash
EOS,EOS
LTC,Litecoin 
XLM,Stellar Lumen 
ADA,Cardano
IOT,IOTA 
TRX,TRON
NEO,NEO
XMR,Monero
USDT,Tether
DASH,Dash
XEM,NEM 
VEN,VeChain
BNB,Binance Coin
ETC,Ethereum Classic
ONT,Ontology
Qtum,QTUM
OMG,OmiseGo
BCN,Bytecoin
ICX,ICON
ZEC,Zcash
ZIL,Zilliqa
AE,Aeternity
DCR,Decred 
BTG,Bitcoin Gold
ZRX,Ox
SC,Siacoin
BTM,Bytom
STEEM,Steem
XVG,VERGE
BTS,BitShares
NANO,Nano
WAVES,Waves
MKR,Maker
RHOC,RChain
WAN,Wanchain
GNT,Golem
BCD,Bitcoin Diamond
STRAT,Stratis
DOGE,Dogecoin 
REP,Augur
PPT,Populous
BTCP,Bitcoin Private
WTC,Waltonchain
XIN,Mixin
DGB,DigiByte
IOST,IOST
SNT,Status
DGD,DigixDAO
WICC,WaykiChain
HSR,Hshare
NAS,Nebulas
AION,Aion
LRC,Loopring
HT,Huobi Token
BAT,Basic Attention Token
ELF,aelf
KMD,Komodo
ARK,Ark
GXS,GXChain
ARDR,Ardor
ELA,Elastos
BNT,Bancor
MAID,MaidSafeCoin
CMT,CyberMiles
MOAC,MOAC
SKY,Skycoin
PIVX,PIVX
CNX,Cryptonex
DCN,Dentacoin
GAS,Gas
MONA,MonaCoin
RDD,ReddCoin
CTXC,Cortex
KNC,Kyber Network
ETHOS,Ethos
SYS,Syscoin
LOOM,Loom Network
POLY,Polymath
MITH,Mithril
QASH,QASH
FSN,Fusion
FUN,FunFair
BIX,Bibox Token
CENNZ,Centrality
THETA,Theta Token
ENG,Enigma
NULS,Nuls
VERI,Veritaseum
SUB,Substratum
ETN,Electroneum
XZC,ZCoin
NXT,Nxt
DRGN,Dragonchain
SOC,All Sports
DROP,Dropil
HOT,Holo
DDD,Scry.info
FCT,Factom
STORM,Storm
BFT,BnkToTheFuture
KIN,Kin
DBC,DeepBrain Chain
POWR,Power Ledger
NXS,Nexus
GTO,Gifto
MAN,Matrix AI Network
BLOCK,Blocknet
WAX,WAX
SALT,SALT
RLC,iExec RLC
MANA,Decentraland
HPB,High Performance Blockchain
LINK,ChainLink
MCO,Monaco
EMC,Emercoin
STORJ,Storj
TRUE,True Chain
CVC,Civic
ACT,Achain
EOSDAC,eosDAC
PAYX,Paypex
NEBL,Neblio
PAY,TenX
ZEN,ZenCash
GBYTE,Byteball Bytes
NEXO,Nexo
BTCD,BitcoinDark
DENT,Dent
QSP,Quantstamp
NCASH,Nucleus Vision
XAS,Asch
R,Revain
SMART,SmartCash
ICN,Iconomi
AGI,SingularityNET
TNB,Time New Bank
REQ,Request Network
CND,Cindicator
IHT,IHT Real Estate
LYM,Lympo
RUFF,Ruff
ABT,Arcblock
DPY,Delphy
ANT,Aragon
ENJ,Enjin Coin
BLZ,Bluzelle
GTC,Game.com
GNO,Gnosis
DATA,Streamr DATAcoin
POA,POA Network
SAN,Santiment Network Token
MDS,MediShares
PART,Particl
SMT,SmartMesh
MTL,Metal
SRN,SIRIN LABS Token
BTO,Bottos
GRS,Groestlcoin
TKY,THEKEY
GAME,GameCredits
VTC,Vertcoin
GNX,Genaro Network
STQ,Storiqa
IGNIS,Ignis
SPHTX,SophiaTX
SNM,SONM
CVT,CyberVein
XDN,DigitalNote
DTR,Dynamic Trading Rights
POE,Po.et
DEW,DEW
PLR,Pillar
RDN,Raiden Network
BOS,BOScoin
VEE,BLOCKv
CS,Credits
CRPT,Crypterium
NKN,NKN
GVT,Genesis Vision
NAV,NavCoin
ITC,IoT Chain
AMB,Ambrosus
DTA,DATA
UBQ,Ubiq
TRAC,OriginTrail
C20,CRYPTO20
TPAY,TokenPay
INK,Ink
CPX,Apex
MTC,Docademic
JNT,Jibrel Network
EXC,Eximchain
BCO,BridgeCoin
BURST,Burst
REN,Republic Protocol
AUTO,Cube
IOTX,IoTeX
BTX,Bitcore
ZCL,ZClassic
EKT,EDUCare
BRD,Bread
XPM,Primecoin
LEND,ETHLend
PPC,Peercoin
TEN,Tokenomy
XSN,Stakenet
TIO,Trade Token
TEL,Telcoin
ECA,Electra
OST,OST
RPX,Red Pulse
TUSD,TrueUSD
DAX,DAEX
EDG,Edgeless
DAI,Dai
EDO,Eidoo
TOMO,TomoChain
ADX,AdEx
WGR,Wagerr
EMC2,Einsteinium
SWM,Swarm
RKT,Rock
RCN,Ripio Credit Network
BAX,BABB
QRL,Quantum Resistant Ledger
PPP,PayPie
SLS,SaluS
SAFEX,Safe Exchange coin
VIA,Viacoin
HOT,Hydro Protocol
RNTB,BitRent
TKN,TokenCard
AST,AirSwap
CLOAK,CloakCoin
BAY,BitBay
SWFTC,SwftCoin
BITCNY,bitCNY
PRL,Oyster
LET,LinkEye
SNGLS,SingularDTV
SPANK,SpankChain
ZCO,Zebi
FXT,FuzeX
WINGS,Wings
XCP,Counterparty
