LSK,Lisk,"LSK, Lisk",LSK,Lisk,"https://newsapi.org/v2/everything?language=en&q=(LSK)AND(""Lisk"")&from=2018-10-01&to=2018-11-05&sortBy=popularity&apiKey=445938e7b4214f4988780151868665cc"
XRP,Ripple,"XRP, Ripple",XRP,Ripple,"https://newsapi.org/v2/everything?language=en&q=(XRP)AND(""Ripple"")&from=2018-10-01&to=2018-11-05&sortBy=popularity&apiKey=445938e7b4214f4988780151868665cc"
ETH,Ethereum,"ETH, Ethereum",ETH,Ethereum,"https://newsapi.org/v2/everything?language=en&q=(ETH)AND(""Ethereum"")&from=2018-10-01&to=2018-11-05&sortBy=popularity&apiKey=445938e7b4214f4988780151868665cc"
BTC,Bitcoin,"BTC, Bitcoin",BTC,Bitcoin,"https://newsapi.org/v2/everything?language=en&q=(BTC)AND(""Bitcoin"")&from=2018-10-01&to=2018-11-05&sortBy=popularity&apiKey=445938e7b4214f4988780151868665cc"
BCH,Bitcoin Cash,"BCH, Bitcoin Cash",BCH,Bitcoin Cash,"https://newsapi.org/v2/everything?language=en&q=(BCH)AND(""Bitcoin Cash"")&from=2018-10-01&to=2018-11-05&sortBy=popularity&apiKey=445938e7b4214f4988780151868665cc"
EOS,EOS,"EOS, Crypto",EOS,Crypto,"https://newsapi.org/v2/everything?language=en&q=(EOS)AND(""Crypto"")&from=2018-10-01&to=2018-11-05&sortBy=popularity&apiKey=445938e7b4214f4988780151868665cc"
LTC,Litecoin ,"LTC, Litecoin ",LTC,Litecoin ,"https://newsapi.org/v2/everything?language=en&q=(LTC)AND(""Litecoin "")&from=2018-10-01&to=2018-11-05&sortBy=popularity&apiKey=445938e7b4214f4988780151868665cc"
XLM,Stellar Lumen ,"XLM, Stellar Lumen ",XLM,Stellar Lumen,"https://newsapi.org/v2/everything?language=en&q=(XLM)AND(""Stellar Lumen"")&from=2018-10-01&to=2018-11-05&sortBy=popularity&apiKey=445938e7b4214f4988780151868665cc"
ADA,Cardano,"ADA, Cardano",ADA,Cardano,"https://newsapi.org/v2/everything?language=en&q=(ADA)AND(""Cardano"")&from=2018-10-01&to=2018-11-05&sortBy=popularity&apiKey=445938e7b4214f4988780151868665cc"
IOT,IOTA ,"IOT, IOTA ",IOT,IOTA,"https://newsapi.org/v2/everything?language=en&q=(IOT)AND(""IOTA"")&from=2018-10-01&to=2018-11-05&sortBy=popularity&apiKey=445938e7b4214f4988780151868665cc"
TRX,TRON,"TRX, TRON",TRX,TRON,"https://newsapi.org/v2/everything?language=en&q=(TRX)AND(""TRON"")&from=2018-10-01&to=2018-11-05&sortBy=popularity&apiKey=445938e7b4214f4988780151868665cc"
NEO,NEO,"NEO, Crypto",NEO,Crypto,"https://newsapi.org/v2/everything?language=en&q=(NEO)AND(""Crypto"")&from=2018-10-01&to=2018-11-05&sortBy=popularity&apiKey=445938e7b4214f4988780151868665cc"
XMR,Monero,"XMR, Monero",XMR,Monero,"https://newsapi.org/v2/everything?language=en&q=(XMR)AND(""Monero"")&from=2018-10-01&to=2018-11-05&sortBy=popularity&apiKey=445938e7b4214f4988780151868665cc"
